date,location,total_cases,new_cases,total_deaths,population,cases_per_million,MA7,death_rate
2020-04-25,United States,890524.0,21352.0,51017.0,331002647.0,2690.383318898353,26908.571428571428,0.05728874235843166
2020-04-26,United States,939053.0,48529.0,53189.0,331002647.0,2836.995439495685,29138.14285714286,0.056641105454111745
2020-04-27,United States,965910.0,26857.0,54876.0,331002647.0,2918.133763443892,29460.428571428572,0.05681274652917974
2020-04-28,United States,988451.0,22541.0,56245.0,331002647.0,2986.2329167415996,28671.285714285714,0.056902163081427405
2020-04-29,United States,1012583.0,24132.0,58355.0,331002647.0,3059.1386781266438,26791.714285714286,0.057629843677012155
2020-04-30,United States,1039909.0,27326.0,60966.0,331002647.0,3141.6939091728773,28182.85714285714,0.05862628364597287
2020-05-01,United States,1069826.0,29917.0,63006.0,331002647.0,3232.076872182838,28664.85714285714,0.058893689254140395
2020-05-02,United States,1103781.0,33955.0,65068.0,331002647.0,3334.659133405661,30465.285714285714,0.058950099702749004
2020-05-03,United States,1133069.0,29288.0,66385.0,331002647.0,3423.1418094973724,27716.571428571428,0.05858866494450029
2020-05-04,United States,1158041.0,24972.0,67682.0,331002647.0,3498.585314938584,27447.285714285714,0.05844525366545744
2020-05-05,United States,1180634.0,22593.0,68934.0,331002647.0,3566.841566677864,27454.714285714286,0.05838727327859438
2020-05-06,United States,1204475.0,23841.0,71078.0,331002647.0,3638.8681810148787,27413.14285714286,0.05901160256543307
2020-05-07,United States,1228603.0,24128.0,73431.0,331002647.0,3711.7618579044174,26956.285714285714,0.05976788270906062
2020-05-08,United States,1256972.0,28369.0,75670.0,331002647.0,3797.468121153726,26735.14285714286,0.06020022721269845
2020-05-09,United States,1283929.0,26957.0,77180.0,331002647.0,3878.9085574895716,25735.428571428572,0.06011235823787764
2020-05-10,United States,1309541.0,25612.0,78794.0,331002647.0,3956.2855822116735,25210.285714285714,0.06016917377920966
2020-05-11,United States,1329799.0,20258.0,79528.0,331002647.0,4017.487509699582,24536.85714285714,0.05980452684954644
2020-05-12,United States,1347916.0,18117.0,80684.0,331002647.0,4072.2212109681404,23897.428571428572,0.05985832945079664
2020-05-13,United States,1369964.0,22048.0,82387.0,331002647.0,4138.830950194788,23641.285714285714,0.0601380766209915
